keyword,identifier,title,card_url,image_url
鬼,U426_nichibunken_0054_0004_0000,鳥兜；トリカブト，笙；ショウ，如意；ニョイ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0004_0000.jpg
鬼,U426_nichibunken_0054_0004_0001,青鬼；アオオニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0004_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0004_0001.jpg
鬼,U426_nichibunken_0054_0005_0000,傘；カサ，草鞋；ワラジ，竹馬；タケウマ，狐；キツネ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0005_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0005_0000.jpg
鬼,U426_nichibunken_0054_0006_0000,唐櫃；カラビツ，赤鬼；アカオニ，五徳；ゴトク，靫；ウツボ，鍋；ナベ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0006_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0006_0000.jpg
鬼,U426_nichibunken_0054_0006_0001,赤鬼；アカオニ，唐櫃；カラビツ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0006_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0006_0001.jpg
鬼,U426_nichibunken_0054_0007_0003,蓋；フタ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0054_0007_0003,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0054_0007_0003.jpg
鬼,U426_nichibunken_0056_0005_0000,鬼；オニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0056_0005_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0056_0005_0000.jpg
鬼,U426_nichibunken_0056_0005_0001,青鬼；アオオニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0056_0005_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0056_0005_0001.jpg
鬼,U426_nichibunken_0056_0005_0002,赤鬼；アカオニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0056_0005_0002,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0056_0005_0002.jpg
鬼,U426_nichibunken_0056_0006_0001,鬼；オニ，角；ツノ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0056_0006_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0056_0006_0001.jpg
鬼,U426_nichibunken_0057_0004_0000,器物；キブツ，鬼；オニ，骸骨；ガイコツ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0057_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0057_0004_0000.jpg
鬼,U426_nichibunken_0057_0004_0001,赤鬼；アカオニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0057_0004_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0057_0004_0001.jpg
鬼,U426_nichibunken_0057_0006_0000,赤鬼；アカオニ，猿；サル，兎；ウサギ，黒雲；クロクモ，龍；リュウ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0057_0006_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0057_0006_0000.jpg
鬼,U426_nichibunken_0057_0006_0001,鬼；オニ，杖；ツエ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0057_0006_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0057_0006_0001.jpg
鬼,U426_nichibunken_0058_0002_0000,閻魔；エンマ，鬼；オニ，地獄；ジゴク,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0002_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0002_0000.jpg
鬼,U426_nichibunken_0058_0002_0001,青鬼；アオオニ，赤鬼；アカオニ，棍棒；コンボウ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0002_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0002_0001.jpg
鬼,U426_nichibunken_0058_0003_0000,赤鬼；アカオニ，天秤；テンビン,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0003_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0003_0000.jpg
鬼,U426_nichibunken_0058_0004_0000,鬼；オニ，槍；ヤリ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0004_0000.jpg
鬼,U426_nichibunken_0058_0005_0000,鬼；オニ，馬；ウマ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0005_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0005_0000.jpg
鬼,U426_nichibunken_0058_0008_0000,鬼；オニ，性器；セイキ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0008_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0008_0000.jpg
鬼,U426_nichibunken_0058_0009_0000,鬼；オニ，性器；セイキ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0009_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0009_0000.jpg
